time,name,humidity,pressure,temperature
2024-01-11T02:24:03.890023521Z,sensors,38.13,1029.86,20.87
2024-01-11T02:24:09.001384963Z,sensors,38.07,1029.8,20.87
2024-01-11T02:24:13.603350114Z,sensors,38.11,1029.8,20.87
2024-01-11T02:24:18.857676286Z,sensors,38.13,1029.8,20.88
2024-01-11T02:25:23.295953741Z,sensors,38.04,1029.81,21.24
2024-01-11T02:25:28.495994707Z,sensors,38.06,1029.8,20.92
2024-01-11T02:25:33.542550391Z,sensors,38.1,1029.82,20.9
2024-01-11T02:25:38.658133274Z,sensors,38.13,1029.79,20.9
2024-01-11T02:25:43.850008894Z,sensors,38.16,1029.85,20.9
2024-01-11T02:25:48.384162042Z,sensors,38.14,1029.82,20.9
2024-01-11T02:25:53.507878812Z,sensors,38.17,1029.82,20.91
2024-01-11T02:25:58.807058766Z,sensors,38.14,1029.82,20.91
2024-01-11T02:26:03.93270556Z,sensors,38.12,1029.82,20.91
2024-01-11T02:26:07.846623894Z,sensors,38.1,1029.85,20.9
2024-01-11T02:26:12.961062847Z,sensors,38.07,1029.8,20.91
2024-01-11T02:26:18.083837061Z,sensors,38.09,1029.82,20.91
2024-01-11T02:26:23.199226455Z,sensors,38.2,1029.84,20.9
2024-01-11T02:26:28.327903637Z,sensors,38.19,1029.94,20.91
2024-01-11T02:26:32.934641434Z,sensors,38.19,1029.82,20.91
2024-01-11T02:26:38.053913007Z,sensors,38.2,1029.88,20.92
2024-01-11T02:26:43.245802859Z,sensors,38.2,1029.82,20.91
2024-01-11T02:26:48.292472312Z,sensors,38.23,1029.8,20.9
2024-01-11T02:26:53.4080248Z,sensors,38.26,1029.88,20.9
2024-01-11T02:26:58.536382523Z,sensors,38.23,1029.86,20.9
2024-01-11T02:27:03.652989144Z,sensors,38.28,1029.84,20.9
2024-01-11T02:27:08.774274788Z,sensors,38.3,1029.81,20.89
2024-01-11T02:27:13.888374046Z,sensors,38.34,1029.85,20.89
2024-01-11T02:27:18.504257518Z,sensors,38.37,1029.87,20.89
2024-01-11T02:27:22.59671672Z,sensors,38.34,1029.82,20.89
