Time,sensor_mo.mean,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester
2/20/2024 14:00,0,2,2024,14:00,1,1,2
2/20/2024 14:05,0,2,2024,14:05,1,1,2
2/20/2024 14:10,1,2,2024,14:10,1,1,2
2/20/2024 14:15,1,2,2024,14:15,1,1,2
2/20/2024 14:20,1,2,2024,14:20,1,1,2
2/20/2024 14:25,1,2,2024,14:25,1,1,2
2/20/2024 14:30,0,2,2024,14:30,1,1,2
2/20/2024 14:35,1,2,2024,14:35,1,1,2
2/20/2024 14:40,1,2,2024,14:40,1,1,2
2/20/2024 14:45,1,2,2024,14:45,1,1,2
2/20/2024 14:50,1,2,2024,14:50,1,1,2
2/20/2024 14:55,1,2,2024,14:55,1,1,2
2/20/2024 15:00,0,2,2024,15:00,1,1,2
2/20/2024 15:05,0,2,2024,15:05,1,1,2
2/20/2024 15:10,1,2,2024,15:10,1,1,2
2/20/2024 15:15,1,2,2024,15:15,1,1,2
2/20/2024 15:20,0,2,2024,15:20,1,1,2
2/20/2024 15:25,1,2,2024,15:25,1,1,2
2/20/2024 15:30,1,2,2024,15:30,1,1,2
2/20/2024 15:35,1,2,2024,15:35,1,1,2
2/20/2024 15:40,1,2,2024,15:40,1,1,2
2/20/2024 15:45,1,2,2024,15:45,1,1,2
2/20/2024 15:50,1,2,2024,15:50,1,1,2
2/20/2024 15:55,1,2,2024,15:55,1,1,2
2/20/2024 16:00,0,2,2024,16:00,1,1,2
2/20/2024 16:05,0,2,2024,16:05,1,1,2
2/20/2024 16:10,0,2,2024,16:10,1,1,2
2/20/2024 16:15,1,2,2024,16:15,1,1,2
2/20/2024 16:20,1,2,2024,16:20,1,1,2
2/20/2024 16:25,1,2,2024,16:25,1,1,2
2/20/2024 16:30,1,2,2024,16:30,1,1,2
2/20/2024 16:35,1,2,2024,16:35,1,1,2
2/20/2024 16:40,1,2,2024,16:40,1,1,2
2/20/2024 16:45,1,2,2024,16:45,1,1,2
2/20/2024 16:50,1,2,2024,16:50,1,1,2
2/20/2024 16:55,0,2,2024,16:55,1,1,2
2/20/2024 17:00,1,2,2024,17:00,1,2,2
2/20/2024 17:05,1,2,2024,17:05,1,2,2
2/20/2024 17:10,1,2,2024,17:10,1,2,2
2/20/2024 17:15,1,2,2024,17:15,1,2,2
2/20/2024 17:20,1,2,2024,17:20,1,2,2
2/20/2024 17:25,1,2,2024,17:25,1,2,2
2/20/2024 17:30,1,2,2024,17:30,1,2,2
2/20/2024 17:35,1,2,2024,17:35,1,2,2
2/20/2024 17:40,1,2,2024,17:40,1,2,2
2/20/2024 17:45,1,2,2024,17:45,1,2,2
2/20/2024 17:50,1,2,2024,17:50,1,2,2
2/20/2024 17:55,0,2,2024,17:55,1,2,2
2/20/2024 18:00,0,2,2024,18:00,1,2,2
