Time,sensor_mo.mean,User_sensor_mo.mean,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester
2/20/2024 9:00,0,0,2,2024,09:00,1,0,2
2/20/2024 9:05,0,0,2,2024,09:05,1,0,2
2/20/2024 9:10,0,1,2,2024,09:10,1,0,2
2/20/2024 9:15,1,1,2,2024,09:15,1,0,2
2/20/2024 9:20,1,1,2,2024,09:20,1,0,2
2/20/2024 9:25,1,1,2,2024,09:25,1,0,2
2/20/2024 9:30,1,1,2,2024,09:30,1,0,2
2/20/2024 9:35,0,0,2,2024,09:35,1,0,2
2/20/2024 9:40,1,1,2,2024,09:40,1,0,2
2/20/2024 9:45,1,1,2,2024,09:45,1,0,2
2/20/2024 9:50,1,1,2,2024,09:50,1,0,2
2/20/2024 9:55,1,1,2,2024,09:55,1,0,2
2/20/2024 10:00,1,0,2,2024,10:00,1,0,2
2/20/2024 10:05,0,0,2,2024,10:05,1,0,2
2/20/2024 10:10,1,1,2,2024,10:10,1,0,2
2/20/2024 10:15,1,1,2,2024,10:15,1,0,2
2/20/2024 10:20,1,1,2,2024,10:20,1,0,2
2/20/2024 10:25,1,1,2,2024,10:25,1,0,2
2/20/2024 10:30,1,1,2,2024,10:30,1,0,2
2/20/2024 10:35,1,1,2,2024,10:35,1,0,2
2/20/2024 10:40,1,1,2,2024,10:40,1,0,2
2/20/2024 10:45,0,1,2,2024,10:45,1,0,2
2/20/2024 10:50,1,1,2,2024,10:50,1,0,2
2/20/2024 10:55,1,1,2,2024,10:55,1,0,2
2/20/2024 11:00,1,1,2,2024,11:00,1,0,2
2/20/2024 11:05,1,1,2,2024,11:05,1,0,2
2/20/2024 11:10,1,1,2,2024,11:10,1,0,2
2/20/2024 11:15,1,1,2,2024,11:15,1,0,2
2/20/2024 11:20,1,0,2,2024,11:20,1,0,2
2/20/2024 11:25,1,1,2,2024,11:25,1,0,2
2/20/2024 11:30,0,1,2,2024,11:30,1,0,2
2/20/2024 11:35,1,1,2,2024,11:35,1,0,2
2/20/2024 11:40,1,1,2,2024,11:40,1,0,2
2/20/2024 11:45,1,1,2,2024,11:45,1,0,2
2/20/2024 11:50,1,1,2,2024,11:50,1,0,2
2/20/2024 11:55,1,0,2,2024,11:55,1,0,2
2/20/2024 12:00,1,0,2,2024,12:00,1,1,2
2/20/2024 12:05,1,1,2,2024,12:05,1,1,2
2/20/2024 12:10,1,1,2,2024,12:10,1,1,2
2/20/2024 12:20,1,1,2,2024,12:20,1,1,2
2/20/2024 12:25,1,1,2,2024,12:25,1,1,2
2/20/2024 12:30,1,1,2,2024,12:30,1,1,2
2/20/2024 12:35,1,1,2,2024,12:35,1,1,2
2/20/2024 12:40,1,1,2,2024,12:40,1,1,2
2/20/2024 12:45,1,1,2,2024,12:45,1,1,2
2/20/2024 12:50,1,1,2,2024,12:50,1,1,2
2/20/2024 12:55,1,0,2,2024,12:55,1,1,2
2/20/2024 13:00,0,0,2,2024,13:00,1,1,2
