Time,sensor_mo.mean,Month,Year,WeekDay,TimeOfDay,Semester,Hour,Minute,Minutes_Past_Midnight
2/20/2024 9:00,0,2,2024,1,0,2,9,0,540
2/20/2024 9:05,0,2,2024,1,0,2,9,5,545
2/20/2024 9:10,0,2,2024,1,0,2,9,10,550
2/20/2024 9:15,1,2,2024,1,0,2,9,15,555
2/20/2024 9:20,1,2,2024,1,0,2,9,20,560
2/20/2024 9:25,1,2,2024,1,0,2,9,25,565
2/20/2024 9:30,1,2,2024,1,0,2,9,30,570
2/20/2024 9:35,0,2,2024,1,0,2,9,35,575
2/20/2024 9:40,1,2,2024,1,0,2,9,40,580
2/20/2024 9:45,1,2,2024,1,0,2,9,45,585
2/20/2024 9:50,1,2,2024,1,0,2,9,50,590
2/20/2024 9:55,1,2,2024,1,0,2,9,55,595
2/20/2024 10:00,1,2,2024,1,0,2,10,0,600
2/20/2024 10:05,0,2,2024,1,0,2,10,5,605
2/20/2024 10:10,1,2,2024,1,0,2,10,10,610
2/20/2024 10:15,1,2,2024,1,0,2,10,15,615
2/20/2024 10:20,1,2,2024,1,0,2,10,20,620
2/20/2024 10:25,1,2,2024,1,0,2,10,25,625
2/20/2024 10:30,1,2,2024,1,0,2,10,30,630
2/20/2024 10:35,1,2,2024,1,0,2,10,35,635
2/20/2024 10:40,1,2,2024,1,0,2,10,40,640
2/20/2024 10:45,0,2,2024,1,0,2,10,45,645
2/20/2024 10:50,1,2,2024,1,0,2,10,50,650
2/20/2024 10:55,1,2,2024,1,0,2,10,55,655
2/20/2024 11:00,1,2,2024,1,0,2,11,0,660
2/20/2024 11:05,1,2,2024,1,0,2,11,5,665
2/20/2024 11:10,1,2,2024,1,0,2,11,10,670
2/20/2024 11:15,1,2,2024,1,0,2,11,15,675
2/20/2024 11:20,1,2,2024,1,0,2,11,20,680
2/20/2024 11:25,1,2,2024,1,0,2,11,25,685
2/20/2024 11:30,0,2,2024,1,0,2,11,30,690
2/20/2024 11:35,1,2,2024,1,0,2,11,35,695
2/20/2024 11:40,1,2,2024,1,0,2,11,40,700
2/20/2024 11:45,1,2,2024,1,0,2,11,45,705
2/20/2024 11:50,1,2,2024,1,0,2,11,50,710
