,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
0,ATB207(26),1,1,9:00,10:00,1,1,1,1
1,ATB207(26),1,2,10:00,11:00,1,1,1,1
2,ATB207(26),1,3,11:00,12:00,1,1,1,1
3,ATB207(26),1,4,12:00,13:00,1,1,1,2
4,ATB207(26),1,5,13:00,14:00,0,0,1,2
5,ATB207(26),1,6,14:00,15:00,1,1,1,2
6,ATB207(26),1,7,15:00,16:00,1,1,1,4
7,ATB207(26),1,8,16:00,17:00,1,1,1,3
8,ATB207(26),1,9,17:00,18:00,1,1,1,3
9,ATB207(26),1,10,18:00,19:00,1,1,1,4
10,ATB207(26),1,11,18:30,21:30,1,0,1,4
11,ATB207(26),2,1,9:00,10:00,1,1,1,1
12,ATB207(26),2,2,10:00,11:00,1,1,1,1
13,ATB207(26),2,3,11:00,12:00,1,1,1,1
14,ATB207(26),2,4,12:00,13:00,1,1,1,2
15,ATB207(26),2,5,13:00,14:00,0,0,1,2
16,ATB207(26),2,6,14:00,15:00,0,0,1,2
17,ATB207(26),2,7,15:00,16:00,1,1,1,4
18,ATB207(26),2,8,16:00,17:00,1,1,1,3
19,ATB207(26),2,9,17:00,18:00,1,1,1,3
20,ATB207(26),2,10,18:00,19:00,1,1,1,4
21,ATB207(26),2,11,18:30,21:30,0,0,1,4
22,ATB207(26),3,1,9:00,10:00,0,0,1,1
23,ATB207(26),3,2,10:00,11:00,1,1,1,1
24,ATB207(26),3,3,11:00,12:00,1,1,1,1
25,ATB207(26),3,4,12:00,13:00,1,1,1,2
26,ATB207(26),3,5,13:00,14:00,1,1,1,2
27,ATB207(26),3,6,14:00,15:00,0,0,1,2
28,ATB207(26),3,7,15:00,16:00,0,0,1,4
29,ATB207(26),3,8,16:00,17:00,1,1,1,3
30,ATB207(26),3,9,17:00,18:00,1,1,1,3
31,ATB207(26),3,10,18:00,19:00,0,0,1,4
32,ATB207(26),3,11,18:30,21:30,1,1,1,4
33,ATB207(26),4,1,9:00,10:00,1,1,1,1
34,ATB207(26),4,2,10:00,11:00,1,1,1,1
35,ATB207(26),4,3,11:00,12:00,1,1,1,1
36,ATB207(26),4,4,12:00,13:00,1,1,1,2
37,ATB207(26),4,5,13:00,14:00,1,1,1,2
38,ATB207(26),4,6,14:00,15:00,1,0,1,2
39,ATB207(26),4,7,15:00,16:00,0,0,1,4
40,ATB207(26),4,8,16:00,17:00,0,0,1,3
41,ATB207(26),4,9,17:00,18:00,1,1,1,3
42,ATB207(26),4,10,18:00,19:00,1,1,1,4
43,ATB207(26),4,11,18:30,21:30,1,1,1,4
44,ATB207(26),5,1,9:00,10:00,1,1,1,1
45,ATB207(26),5,2,10:00,11:00,1,1,1,1
46,ATB207(26),5,3,11:00,12:00,1,1,1,1
47,ATB207(26),5,4,12:00,13:00,1,0,1,2
48,ATB207(26),5,5,13:00,14:00,0,0,1,2
49,ATB207(26),5,6,14:00,15:00,0,0,1,2
50,ATB207(26),5,7,15:00,16:00,0,0,1,4
51,ATB207(26),5,8,16:00,17:00,0,0,1,3
52,ATB207(26),5,9,17:00,18:00,0,0,1,3
53,ATB207(26),5,10,18:00,19:00,0,0,1,4
54,ATB207(26),5,11,18:30,21:30,1,1,1,4
55,ATB207(26),6,1,9:00,10:00,1,1,1,1
56,ATB207(26),6,2,10:00,11:00,0,0,1,1
